Sample;1;2;3;4;5;6;7;8;9;10;11;12
A;;1.0;1.3979400086720377;1.6989700043360187;2.0;2.3010299956639813;2.6020599913279625;NegControl0001;BlankControl0001;;;
B;;1.0;1.3979400086720377;1.6989700043360187;2.0;2.3010299956639813;2.6020599913279625;NegControl0002;BlankControl0002;;;
C;;1.0;1.3979400086720377;1.6989700043360187;2.0;2.3010299956639813;2.6020599913279625;NegControl0003;BlankControl0003;;;
D;;1.0;1.3979400086720377;1.6989700043360187;2.0;2.3010299956639813;2.6020599913279625;NegControl0004;BlankControl0004;;;
E;;;;;;;;;;;;
F;;;;;;;;;;;;
G;;;;;;;;;;;;
H;;;;;;;;;;;;
